,direccion_territorial,area_protegida,mes,adultos_nacionales_2011,ninos_y_estudiantes_2011,extranjeros_2011,extranjeros_residentes_2011,ninos_residentes_2011,adultos_residentes_2011,ninos_excentos_no_residentes_2011,adultos_excentos_no_residentes_2011,adultos_nacionales_2012,ninos_y_estudiantes_2012,extranjeros_2012,extranjeros_residentes_2012,ninos_residentes_2012,adultos_residentes_2012,ninos_excentos_no_residentes_2012,adultos_excentos_no_residentes_2012,adultos_nacionales_2013,ninos_y_estudiantes_2013,extranjeros_2013,extranjeros_residentes_2013,ninos_residentes_2013,adultos_residentes_2013,ninos_excentos_no_residentes_2013,adultos_excentos_no_residentes_2013,adultos_nacionales_2014,ninos_y_estudiantes_2014,extranjeros_2014,extranjeros_residentes_2014,ninos_residentes_2014,adultos_residentes_2014,ninos_excentos_no_residentes_2014,adultos_excentos_no_residentes_2014,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
37, ANDES OCCIDENTALES,PURACE,1,2,1,1,0,1,1,1,1,2,0,1,1,0,0,0,0,2,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,2,2,3,2,3,0
38, ANDES NORORIENTALES,IGUAQUE,9,1,2,1,1,0,0,0,0,2,2,1,1,0,1,0,1,1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,3,3,2,3,2,0
39, ANDES NORORIENTALES,ESTORAQUES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
40, PACIFICO,MALPELO,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0
41, ANDES NORORIENTALES,IGUAQUE,8,2,2,2,1,0,0,0,0,2,2,1,1,0,1,0,1,1,2,1,0,1,1,0,0,2,2,1,0,0,0,1,1,3,3,2,2,2,0
42, ANDES NORORIENTALES,GUANENTA FONCE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43, CARIBE,COLORADOS,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,2,0
44, ANDES OCCIDENTALES,GALERAS,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
46, CARIBE,FLAMENCOS,11,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0
48, ANDES OCCIDENTALES,GALERAS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1
49, PACIFICO,MALPELO,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0
50, ANDES NORORIENTALES,ESTORAQUES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
51, ANDES NORORIENTALES,PISBA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52, ANDES NORORIENTALES,GUANENTA FONCE,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
53, ANDES OCCIDENTALES,OTUN QUIMBAYA,6,2,0,1,0,0,0,0,2,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,2,1,0,0,0,0,2,2,2,2,2,2,0
54, PACIFICO,UTRIA,10,1,1,1,1,0,0,1,1,2,1,1,0,0,0,1,1,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0
55, ANDES OCCIDENTALES,PURACE,2,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,2,2,2,0
56, ANDES OCCIDENTALES,GUACHAROS,8,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,2,1,1,0
57, ANDES OCCIDENTALES,GUACHAROS,6,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,1,2,0
58, CARIBE,COLORADOS,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,2
59, ANDES OCCIDENTALES,GUACHAROS,5,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,2,1,2,2,2,0
60, CARIBE,TAYRONA,2,5,3,5,1,0,0,2,2,5,4,5,1,0,0,3,3,5,4,5,0,0,0,4,1,5,4,4,1,0,0,3,3,4,4,4,5,5,4
61,  ORINOQUIA,TUPARRO,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
62, ANDES NORORIENTALES,PISBA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64, AMAZONIA,AMACAYACU,1,4,1,2,0,0,0,0,0,4,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0
65, ANDES OCCIDENTALES,LOS NEVADOS,1,5,4,2,1,0,0,0,2,5,4,2,1,0,0,0,2,4,4,2,0,2,0,1,1,4,4,2,0,0,0,1,1,4,4,4,4,4,4
66, ANDES OCCIDENTALES,PURACE,11,1,0,1,1,1,1,0,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0
67, CARIBE,SALAMANCA,12,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0
68, PACIFICO,UTRIA,9,2,2,1,1,0,0,0,1,2,1,1,0,0,0,0,0,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0
70, ANDES NORORIENTALES,TAMA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71, CARIBE,COLORADOS,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0
72, ANDES OCCIDENTALES,PURACE,10,2,0,1,1,1,1,1,1,2,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0
73, ANDES NORORIENTALES,COCUY,5,1,1,1,1,0,0,0,0,1,2,1,1,0,0,0,0,1,2,1,0,0,1,0,1,1,1,1,1,1,0,0,2,2,2,2,2,2,0
74, ANDES OCCIDENTALES,LOS NEVADOS,10,4,4,2,1,0,0,0,3,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,0,4,0
75, CARIBE,FLAMENCOS,7,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,2,2,3,0
77, ANDES OCCIDENTALES,OTUN QUIMBAYA,2,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,2,2,2,2,2
78, CARIBE,CORALES ROSARIO,8,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,5,5,0
79,  ORINOQUIA,SUMAPAZ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80, CARIBE,SIERRA NEVADA DE SANTA MARTA,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0
81, ANDES NORORIENTALES,COCUY,1,3,4,2,0,0,3,0,1,4,4,2,1,0,3,1,1,4,4,2,1,1,4,1,1,4,4,2,1,1,4,1,1,4,4,4,4,4,4
82, PACIFICO,GORGONA,11,2,3,1,0,0,1,0,0,2,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0
83, ANDES OCCIDENTALES,PURACE,6,2,1,1,1,1,1,0,0,2,1,1,0,0,1,0,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0
84, ANDES OCCIDENTALES,COROTA,6,4,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,4,0,1,0,0,0,2,0,4,0,1,0,0,0,0,1,4,3,4,4,3,0
85, ANDES NORORIENTALES,IGUAQUE,10,2,2,1,1,0,0,0,0,2,2,1,1,0,1,0,0,2,2,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,3,3,3,0
86, ANDES OCCIDENTALES,GALERAS,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
88, ANDES NORORIENTALES,ESTORAQUES,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
90, CARIBE,FLAMENCOS,9,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,3,0
91,  ORINOQUIA,CHINGAZA,6,2,1,1,1,0,0,0,1,3,2,1,1,1,1,1,1,3,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,3,3,2,3,3,0
93, CARIBE,MACUIRA,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,2,2,2
94, ANDES NORORIENTALES,PISBA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,  ORINOQUIA,CHINGAZA,2,3,2,1,1,0,0,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,3,0,3,3,3,3
97, CARIBE,OLD PROVIDENCE,4,3,2,2,0,1,2,2,1,2,1,2,0,1,1,1,1,2,2,2,0,1,1,1,1,2,1,1,0,1,1,0,1,3,3,3,3,3,2
98, ANDES NORORIENTALES,IGUAQUE,4,1,2,1,1,0,0,0,0,2,2,1,1,1,1,1,1,1,2,1,1,0,0,0,0,2,2,1,0,0,1,0,0,3,2,2,3,2,3
99, PACIFICO,GORGONA,7,2,1,1,0,0,2,0,1,2,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,2,3,2,2,2,0
103, ANDES NORORIENTALES,ESTORAQUES,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
105, CARIBE,SALAMANCA,8,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,2,2,1,1,2,2,0
106,  ORINOQUIA,CHINGAZA,5,3,1,1,0,0,0,1,2,2,2,1,1,1,2,1,1,3,3,1,1,1,1,1,2,2,2,1,1,1,1,1,2,3,3,3,3,3,0
107, CARIBE,TAYRONA,5,5,4,4,1,0,0,2,2,5,4,4,1,0,0,2,2,5,4,4,1,0,0,3,0,5,4,4,0,0,2,2,2,4,4,4,4,4,0
108, CARIBE,TAYRONA,6,5,4,4,1,0,0,2,2,5,4,4,1,0,0,4,3,5,4,4,0,0,0,4,1,5,4,4,2,0,0,4,3,5,5,5,5,5,0
109, ANDES NORORIENTALES,ESTORAQUES,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
111, CARIBE,OLD PROVIDENCE,2,2,1,2,0,1,1,1,1,3,1,2,0,1,2,1,2,1,2,2,0,1,1,1,2,2,1,2,0,1,1,1,1,3,3,3,3,3,3
112, ANDES OCCIDENTALES,LOS NEVADOS,7,4,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,1,3,3,1,0,0,0,1,1,4,4,4,0,3,0
113, ANDES OCCIDENTALES,COROTA,10,4,0,1,0,0,0,1,1,4,0,1,0,0,0,0,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,4,4,4,3,0
114, CARIBE,COLORADOS,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0
115, CARIBE,CORALES ROSARIO,9,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0
117, CARIBE,FLAMENCOS,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,2,1,3,2
120, CARIBE,SALAMANCA,9,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0
121, ANDES NORORIENTALES,COCUY,3,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,3,3,1,1,0,2,0,1,2,2,1,1,0,2,1,1,2,3,2,2,3,3
122, PACIFICO,MALPELO,2,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,2,1,2,1
123, ANDES NORORIENTALES,TAMA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124, CARIBE,CORALES ROSARIO,11,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,5,0
125, ANDES OCCIDENTALES,GUACHAROS,11,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,2,2,0
126, ANDES OCCIDENTALES,GALERAS,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
127, ANDES OCCIDENTALES,GALERAS,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
128, ANDES OCCIDENTALES,LOS NEVADOS,5,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2,2,3,1,0,0,0,1,1,4,4,3,0,3,0
130, ANDES NORORIENTALES,TAMA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131, ANDES OCCIDENTALES,OTUN QUIMBAYA,1,2,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,1,2,2,2,2,2,2
132, PACIFICO,MALPELO,10,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0
133, CARIBE,COLORADOS,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,2,0
134, ANDES OCCIDENTALES,OTUN QUIMBAYA,9,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0
135, PACIFICO,MALPELO,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,2,2,1,0
136, ANDES NORORIENTALES,COCUY,12,2,2,1,1,0,2,0,0,3,2,2,1,0,2,0,1,3,3,2,1,0,2,0,1,0,0,0,0,0,0,0,0,3,2,3,3,3,0
137, AMAZONIA,AMACAYACU,12,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
138, CARIBE,MACUIRA,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
139,  ORINOQUIA,CHINGAZA,12,2,1,1,1,0,1,1,1,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,3,3,0
141, ANDES NORORIENTALES,COCUY,8,1,2,1,1,0,1,0,0,2,2,1,1,0,1,0,0,2,2,1,1,0,1,0,0,2,2,2,0,1,0,0,1,2,2,2,2,2,0
142, ANDES NORORIENTALES,IGUAQUE,2,1,1,1,1,0,0,0,0,1,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,2,2,1,1,0,1,0,1,2,2,2,3,1,2
143, CARIBE,MACUIRA,4,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,2,1,2
144, CARIBE,TAYRONA,3,5,4,5,1,0,0,3,2,5,3,5,1,0,0,3,2,5,4,5,1,0,0,4,0,5,4,5,2,0,0,3,3,4,5,5,5,5,5
145, ANDES NORORIENTALES,PISBA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146, CARIBE,FLAMENCOS,12,2,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,0
147, CARIBE,SIERRA NEVADA DE SANTA MARTA,9,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0
148, ANDES OCCIDENTALES,PURACE,9,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0
150, ANDES NORORIENTALES,GUANENTA FONCE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
151, CARIBE,TAYRONA,4,5,4,4,1,0,0,2,2,5,4,4,1,0,0,4,2,5,4,4,1,0,0,3,0,5,4,5,2,4,2,1,2,5,5,5,5,4,5
152,  ORINOQUIA,SUMAPAZ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153, ANDES OCCIDENTALES,GUACHAROS,12,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,2,2,0
