;class;family;key;kingdom;month;order;phylum;scientificname;taxonkey;year;direccion_territorial
59;JUNGERMANNIOPSIDA;RADULACEAE;IGUAQUE;PLANTAE;12;PORELLALES;MARCHANTIOPHYTA;RADULACEAE;2266;2002; ANDES NORORIENTALES
60;BRYOPSIDA;RHIZOGONIACEAE;IGUAQUE;PLANTAE;6;BRYALES;BRYOPHYTA;PYRRHOBRYUM MNIOIDES MANUEL, 1980;2676459;2001; ANDES NORORIENTALES
61;JUNGERMANNIOPSIDA;RADULACEAE;IGUAQUE;PLANTAE;6;PORELLALES;MARCHANTIOPHYTA;RADULA MEXICANA LINDENB. & GOTTSCHE;7914079;2001; ANDES NORORIENTALES
62;BRYOPSIDA;RHIZOGONIACEAE;IGUAQUE;PLANTAE;6;BRYALES;BRYOPHYTA;PYRRHOBRYUM SPINIFORME MITTEN, 1868;2676461;2001; ANDES NORORIENTALES
63;BRYOPSIDA;SEMATOPHYLLACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;PTEROGONIDIUM PULCHELLUM (HOOK.) MA¼LL.HAL.;8825616;2001; ANDES NORORIENTALES
64;LILIOPSIDA;BROMELIACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;PUYA TRIANAE BAKER;2696306;2002; ANDES NORORIENTALES
65;BRYOPSIDA;NECKERACEAE;IGUAQUE;PLANTAE;12;LEUCODONTALES;BRYOPHYTA;POROTRICHUM (BRID.) HAMPE;9492611;2002; ANDES NORORIENTALES
66;BRYOPSIDA;NECKERACEAE;IGUAQUE;PLANTAE;12;LEUCODONTALES;BRYOPHYTA;POROTRICHUM (BRID.) HAMPE;9492611;2002; ANDES NORORIENTALES
67;BRYOPSIDA;NECKERACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;POROTRICHUM (BRID.) HAMPE;9492611;2001; ANDES NORORIENTALES
68;BRYOPSIDA;PRIONODONTACEAE;IGUAQUE;PLANTAE;6;ISOBRYALES;BRYOPHYTA;PRIONODON DENSUS (HEDW.) MA¼LL.HAL.;9177403;2001; ANDES NORORIENTALES
69;BRYOPSIDA;PRIONODONTACEAE;IGUAQUE;PLANTAE;6;ISOBRYALES;BRYOPHYTA;PRIONODON DENSUS (HEDW.) MA¼LL.HAL.;9177403;2001; ANDES NORORIENTALES
70;BRYOPSIDA;PRIONODONTACEAE;IGUAQUE;PLANTAE;6;ISOBRYALES;BRYOPHYTA;PRIONODON DENSUS (HEDW.) MA¼LL.HAL.;9177403;2001; ANDES NORORIENTALES
71;BRYOPSIDA;PRIONODONTACEAE;IGUAQUE;PLANTAE;6;ISOBRYALES;BRYOPHYTA;PRIONODON FUSCOLUTESCENS HAMPE, 1865;5282943;2001; ANDES NORORIENTALES
72;BRYOPSIDA;PRIONODONTACEAE;IGUAQUE;PLANTAE;6;ISOBRYALES;BRYOPHYTA;PRIONODON FUSCOLUTESCENS HAMPE, 1865;5282943;2001; ANDES NORORIENTALES
73;BRYOPSIDA;PRIONODONTACEAE;IGUAQUE;PLANTAE;12;ISOBRYALES;BRYOPHYTA;PRIONODONTACEAE;8758;2002; ANDES NORORIENTALES
74;BRYOPSIDA;POTTIACEAE;IGUAQUE;PLANTAE;12;POTTIALES;BRYOPHYTA;POTTIACEAE;4671;2002; ANDES NORORIENTALES
75;PINOPSIDA;PODOCARPACEAE;IGUAQUE;PLANTAE;6;PINALES;TRACHEOPHYTA;PRUMNOPITYS MONTANA (HUMB. & BONPL. EX WILLD.) DE LAUB.;2687271;2001; ANDES NORORIENTALES
76;PINOPSIDA;PODOCARPACEAE;IGUAQUE;PLANTAE;12;PINALES;TRACHEOPHYTA;PRUMNOPITYS MONTANA (HUMB. & BONPL. EX WILLD.) DE LAUB.;2687271;2002; ANDES NORORIENTALES
77;PINOPSIDA;PODOCARPACEAE;IGUAQUE;PLANTAE;12;PINALES;TRACHEOPHYTA;PRUMNOPITYS MONTANA (HUMB. & BONPL. EX WILLD.) DE LAUB.;2687271;2002; ANDES NORORIENTALES
78;PINOPSIDA;PODOCARPACEAE;IGUAQUE;PLANTAE;6;PINALES;TRACHEOPHYTA;PRUMNOPITYS MONTANA (HUMB. & BONPL. EX WILLD.) DE LAUB.;2687271;2001; ANDES NORORIENTALES
79;BRYOPSIDA;NECKERACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;POROTRICHUM LONGIROSTRE MITTEN, 1869;2678661;2001; ANDES NORORIENTALES
80;BRYOPSIDA;NECKERACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;POROTRICHUM MUTABILE HAMPE, 1862;2678640;2001; ANDES NORORIENTALES
81;BRYOPSIDA;POLYTRICHACEAE;IGUAQUE;PLANTAE;6;POLYTRICHALES;BRYOPHYTA;POLYTRICHUM JUNIPERINUM HEDWIG, 1801;2683092;2001; ANDES NORORIENTALES
82;BRYOPSIDA;POLYTRICHACEAE;IGUAQUE;PLANTAE;6;POLYTRICHALES;BRYOPHYTA;POLYTRICHACEAE;4669;2001; ANDES NORORIENTALES
83;BRYOPSIDA;POLYTRICHACEAE;IGUAQUE;PLANTAE;12;POLYTRICHALES;BRYOPHYTA;POLYTRICHACEAE;4669;2002; ANDES NORORIENTALES
84;BRYOPSIDA;BRYACEAE;IGUAQUE;PLANTAE;6;BRYALES;BRYOPHYTA;POHLIA LEPTODONTIUM BROTHERUS, 1903;5282614;2001; ANDES NORORIENTALES
85;PINOPSIDA;PODOCARPACEAE;IGUAQUE;PLANTAE;12;PINALES;TRACHEOPHYTA;PODOCARPUS OLEIFOLIUS VAR. MACROSTACHYUS (PARL.) J.T.BUCHHOLZ & N.E.GRAY;5286010;2002; ANDES NORORIENTALES
86;BRYOPSIDA;PLAGIOTHECIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;PLAGIOTHECIUM NOVOGRANATENSE MITTEN, 1869;5283468;2001; ANDES NORORIENTALES
87;BRYOPSIDA;PLAGIOTHECIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;PLAGIOTHECIUM NOVOGRANATENSE MITTEN, 1869;5283468;2001; ANDES NORORIENTALES
88;BRYOPSIDA;BRYACEAE;IGUAQUE;PLANTAE;6;BRYALES;BRYOPHYTA;POHLIA RICHARDSII A.J.SHAW, 1982;5282558;2001; ANDES NORORIENTALES
89;BRYOPSIDA;BRACHYTHECIACEAE;IGUAQUE;PLANTAE;12;HYPNALES;BRYOPHYTA;PLATYHYPNIDIUM AQUATICUM FLEISCHER, 1923;2679818;2002; ANDES NORORIENTALES
90;BRYOPSIDA;BRACHYTHECIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;PLATYHYPNIDIUM AQUATICUM FLEISCHER, 1923;2679818;2001; ANDES NORORIENTALES
91;BRYOPSIDA;BRACHYTHECIACEAE;IGUAQUE;PLANTAE;12;HYPNALES;BRYOPHYTA;PLATYHYPNIDIUM AQUATICUM FLEISCHER, 1923;2679818;2002; ANDES NORORIENTALES
92;BRYOPSIDA;BRACHYTHECIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;PLATYHYPNIDIUM AQUATICUM FLEISCHER, 1923;2679818;2001; ANDES NORORIENTALES
93;BRYOPSIDA;MNIACEAE;IGUAQUE;PLANTAE;12;BRYALES;BRYOPHYTA;PLAGIOMNIUM RHYNCHOPHORUM T.KOPONEN, 1971;2677620;2002; ANDES NORORIENTALES
94;BRYOPSIDA;BRACHYTHECIACEAE;IGUAQUE;PLANTAE;12;HYPNALES;BRYOPHYTA;PLATYHYPNIDIUM AQUATICUM FLEISCHER, 1923;2679818;2002; ANDES NORORIENTALES
95;LILIOPSIDA;ORCHIDACEAE;IGUAQUE;PLANTAE;12;ASPARAGALES;TRACHEOPHYTA;PLEUROTHALLIS R.BR.;7941720;2002; ANDES NORORIENTALES
96;JUNGERMANNIOPSIDA;PLAGIOCHILACEAE;IGUAQUE;PLANTAE;12;JUNGERMANNIALES;MARCHANTIOPHYTA;PLAGIOCHILACEAE;2278;2002; ANDES NORORIENTALES
97;JUNGERMANNIOPSIDA;PLAGIOCHILACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;PLAGIOCHILACEAE;2278;2001; ANDES NORORIENTALES
98;JUNGERMANNIOPSIDA;PLAGIOCHILACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;PLAGIOCHILACEAE;2278;2001; ANDES NORORIENTALES
99;JUNGERMANNIOPSIDA;PLAGIOCHILACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;PLAGIOCHILA RADDIANA LINDENB.;7430359;2001; ANDES NORORIENTALES
100;MAGNOLIOPSIDA;URTICACEAE;IGUAQUE;PLANTAE;6;ROSALES;TRACHEOPHYTA;PILEA SMITHII KILLIP;5670403;2001; ANDES NORORIENTALES
101;MAGNOLIOPSIDA;URTICACEAE;IGUAQUE;PLANTAE;6;ROSALES;TRACHEOPHYTA;PILEA SMITHII KILLIP;5670403;2001; ANDES NORORIENTALES
