,Unnamed: 0,key,month,taxonkey,year,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014,kmeans
93,93,1,12.0,2677620,2002.0,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608,1
94,94,1,12.0,2679818,2002.0,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608,1
95,95,1,12.0,7941720,2002.0,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608,2
96,96,1,12.0,2278,2002.0,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608,3
97,97,1,6.0,2278,2001.0,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608,3
98,98,1,6.0,2278,2001.0,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608,3
99,99,1,6.0,7430359,2001.0,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608,2
100,100,1,6.0,5670403,2001.0,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608,0
101,101,1,6.0,5670403,2001.0,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608,0
102,102,1,6.0,2677818,2001.0,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608,1
103,103,1,6.0,2677818,2001.0,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608,1
