kingdom;phylum;class;order;family;scientificname;locality;taxonkey;1995.0;1996.0;1997.0;1998.0;1999.0;2000.0;2001.0;2002.0;2003.0;2004.0;2005.0;2006.0;2007.0;2008.0;2009.0;2013.0;2014.0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;PHYLLOSTOMUS HASTATUS PANAMENSIS J.A.ALLEN, 1904;SIERRA NEVADA DE SANTA MARTA;4265392;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;PLATYRRHINUS HELLERI (PETERS, 1866);SIERRA NEVADA DE SANTA MARTA;5218762;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;PLATYRRHINUS VITTATUS (PETERS, 1860);SIERRA NEVADA DE SANTA MARTA;5218764;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;STURNIRA BOGOTENSIS SHAMEL, 1927;TAMA;2433331;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1047;270;518;178;250;171;47;0;0;0;0;0;0;0;3;12;0;0;0;0
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;STURNIRA ERYTHROMOS (TSCHUDI, 1844);TAMA;2433324;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1047;270;518;178;250;171;47;0;0;0;0;0;0;0;3;12;0;0;0;0
ANIMALIA;CHORDATA;MAMMALIA;CHIROPTERA;PHYLLOSTOMIDAE;STURNIRA LUDOVICI ANTHONY, 1924;SIERRA NEVADA DE SANTA MARTA;2433332;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
ANIMALIA;CHORDATA;MAMMALIA;DIDELPHIMORPHIA;DIDELPHIDAE;DIDELPHIS MARSUPIALIS LINNAEUS, 1758;SIERRA NEVADA DE SANTA MARTA;2439920;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
ANIMALIA;CHORDATA;MAMMALIA;RODENTIA;CRICETIDAE;MELANOMYS CALIGINOSUS (TOMES, 1860);IGUAQUE;5219852;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3985;5113;6488;5957;5083;5992;6828;5160;6716;6524;6195;5078;4246;4696;5263;5235;4654;6742;5469;2608
ANIMALIA;CHORDATA;MAMMALIA;RODENTIA;CRICETIDAE;MELANOMYS CALIGINOSUS (TOMES, 1860);SIERRA NEVADA DE SANTA MARTA;5219852;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;135;166;72;158;223;237;452;0;689;718;532;492;453;279;325;270;373;54
ANIMALIA;CHORDATA;MAMMALIA;RODENTIA;CRICETIDAE;OLIGORYZOMYS FULVESCENS (SAUSSURE, 1860);IGUAQUE;2438276;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3985;5113;6488;5957;5083;5992;6828;5160;6716;6524;6195;5078;4246;4696;5263;5235;4654;6742;5469;2608
