,class,family,key,kingdom,locality,month,order,phylum,scientificname,taxonkey,year,direccion_territorial,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
27,MAGNOLIOPSIDA,SOLANACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,SOLANALES,TRACHEOPHYTA,SOLANUM L.,2928997,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
28,MAGNOLIOPSIDA,SOLANACEAE,IGUAQUE,PLANTAE,IGUAQUE,11.0,SOLANALES,TRACHEOPHYTA,SOLANUM TORVUM SW.,2932389,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
29,MAGNOLIOPSIDA,SOLANACEAE,IGUAQUE,PLANTAE,IGUAQUE,9.0,SOLANALES,TRACHEOPHYTA,SOLANUM TORVUM SW.,2932389,2003.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
30,BRYOPSIDA,SEMATOPHYLLACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,"SEMATOPHYLLUM ADNATUM BRITTON, 1902",2680735,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
31,BRYOPSIDA,SEMATOPHYLLACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,HYPNALES,BRYOPHYTA,SEMATOPHYLLUM MITT.,2680613,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
32,BRYOPSIDA,SEMATOPHYLLACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,HYPNALES,BRYOPHYTA,SEMATOPHYLLUM MITT.,2680613,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
33,BRYOPSIDA,SEMATOPHYLLACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,HYPNALES,BRYOPHYTA,SEMATOPHYLLUM MITT.,2680613,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
34,BRYOPSIDA,SEMATOPHYLLACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,HYPNALES,BRYOPHYTA,SEMATOPHYLLUM MITT.,2680613,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
35,BRYOPSIDA,SEMATOPHYLLACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,"SEMATOPHYLLUM SUBSIMPLEX MITTEN, 1869",2680674,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
36,BRYOPSIDA,SEMATOPHYLLACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,"SEMATOPHYLLUM SUBPINNATUM BRITTON, 1918",2680758,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
