,direccion_territorial,area_protegida,mes,adultos_nacionales_2011,ninos_y_estudiantes_2011,extranjeros_2011,extranjeros_residentes_2011,ninos_residentes_2011,adultos_residentes_2011,ninos_excentos_no_residentes_2011,adultos_excentos_no_residentes_2011,adultos_nacionales_2012,ninos_y_estudiantes_2012,extranjeros_2012,extranjeros_residentes_2012,ninos_residentes_2012,adultos_residentes_2012,ninos_excentos_no_residentes_2012,adultos_excentos_no_residentes_2012,adultos_nacionales_2013,ninos_y_estudiantes_2013,extranjeros_2013,extranjeros_residentes_2013,ninos_residentes_2013,adultos_residentes_2013,ninos_excentos_no_residentes_2013,adultos_excentos_no_residentes_2013,adultos_nacionales_2014,ninos_y_estudiantes_2014,extranjeros_2014,extranjeros_residentes_2014,ninos_residentes_2014,adultos_residentes_2014,ninos_excentos_no_residentes_2014,adultos_excentos_no_residentes_2014,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
579, CARIBE, SIERRA NEVADA,JULIO,14,1,4,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,19,15,0,0
582, ANDES OCCIDENTALES, PURACE,DICIEMBRE,43,0,13,12,24,38,0,0,194,0,79,15,0,63,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,95,130,369,0,0
583, PACIFICO, MALPELO,JULIO,60,0,0,53,0,0,0,0,8,0,34,0,0,0,0,50,3,0,32,0,0,0,0,0,41,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,267,113,92,35,0
596, CARIBE, SIERRA NEVADA,MARZO,2,0,2,0,0,0,0,0,13,14,2,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38,4,29,26,0
598, ANDES NORORIENTALES, ESTORAQUES,DICIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0
603, AMAZONIA, AMACAYACU,AGOSTO,830,105,227,13,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,1187,1194,0,0,0
604, ANDES OCCIDENTALES, GALERAS,DICIEMBRE,31,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,31,3,2,0
613, ANDES OCCIDENTALES, NEVADOS,ABRIL,614,413,94,8,0,0,0,239,0,0,0,0,0,0,0,0,177,158,21,0,0,0,0,18,2915,2146,61,0,0,0,37,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6085,5441,1368,0,374,5209
618, CARIBE, TAYRONA,DICIEMBRE,17371,3724,3593,28,0,0,1385,591,21553,4577,3884,24,0,0,1380,951,20122,2548,4468,0,1438,0,1328,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31222,14744,26692,32369,30776,0
626, CARIBE, CORALES DEL ROSARIO,FEBRERO,21028,1,12,0,0,0,0,0,26931,0,0,0,0,0,0,0,32509,0,0,0,0,0,0,0,32411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15833,20317,21041,26931,32509,32411
633,  ORINOQUIA, TUPARRO,SEPTIEMBRE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0
638, ANDES NORORIENTALES, TAMA,JULIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653, ANDES OCCIDENTALES, PURACE,MARZO,129,12,58,2,20,70,20,70,57,0,35,3,0,0,0,0,148,188,49,11,11,26,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,65,381,95,465,0
660, ANDES OCCIDENTALES, CUEVA DE LOS GUACHAROS,ENERO,19,31,0,0,0,0,4,26,35,32,0,0,2,0,0,0,34,52,2,0,38,13,5,0,11,34,3,0,0,0,18,4,1000,590,242,47,576,273,326,163,360,341,373,378,334,515,46,79,80,69,144,70
665, PACIFICO, MALPELO,ABRIL,25,0,39,0,0,0,0,0,29,0,2,0,0,0,0,14,0,0,47,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,64,45,47,27
700,  ORINOQUIA, TUPARRO,DICIEMBRE,2,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,2,24,0,0
705, PACIFICO, UTRIA,ABRIL,140,42,6,5,0,0,0,0,79,24,2,0,0,4,5,46,18,2,10,0,0,45,0,2,75,68,5,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,20,193,160,77,168
714, ANDES NORORIENTALES, TAMA,AGOSTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716, ANDES OCCIDENTALES, GALERAS,FEBRERO,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,7
752,  ORINOQUIA, SUMAPAZ,NOVIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
775, ANDES NORORIENTALES, IGUAQUE,MAYO,20,89,19,16,0,0,0,0,123,304,41,6,0,4,30,11,59,126,15,0,0,0,0,0,59,119,17,0,3,5,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,378,144,519,200,0
805, CARIBE, COLORADOS,MARZO,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,49,3,0,0,0,0,0,0,0,0,1,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,2,2,52,52
806,  ORINOQUIA, CHINGAZA,AGOSTO,320,376,36,8,20,23,4,10,706,49,18,12,0,0,424,50,460,140,15,20,16,51,9,0,412,172,27,12,5,57,4,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982,731,797,1259,711,0
940, CARIBE, MACUIRA,JULIO,0,0,0,0,0,0,0,16,39,0,7,0,0,0,0,0,65,0,15,0,0,0,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,46,80,0
