,direccion_territorial,area_protegida,mes,adultos_nacionales_2011,ninos_y_estudiantes_2011,extranjeros_2011,extranjeros_residentes_2011,ninos_residentes_2011,adultos_residentes_2011,ninos_excentos_no_residentes_2011,adultos_excentos_no_residentes_2011,adultos_nacionales_2012,ninos_y_estudiantes_2012,extranjeros_2012,extranjeros_residentes_2012,ninos_residentes_2012,adultos_residentes_2012,ninos_excentos_no_residentes_2012,adultos_excentos_no_residentes_2012,adultos_nacionales_2013,ninos_y_estudiantes_2013,extranjeros_2013,extranjeros_residentes_2013,ninos_residentes_2013,adultos_residentes_2013,ninos_excentos_no_residentes_2013,adultos_excentos_no_residentes_2013,adultos_nacionales_2014,ninos_y_estudiantes_2014,extranjeros_2014,extranjeros_residentes_2014,ninos_residentes_2014,adultos_residentes_2014,ninos_excentos_no_residentes_2014,adultos_excentos_no_residentes_2014,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
218, CARIBE, SIERRA NEVADA,ENERO,6,2,5,0,0,0,0,0,2,25,2,0,0,0,0,0,14,0,2,0,0,0,0,0,12,0,2,3,0,0,0,0,0,21,135,166,72,158,223,237,452,0,689,718,532,492,31,18,13,29,16,17
219, CARIBE, TAYRONA,ENERO,29125,5985,6231,0,0,0,2531,834,40894,7295,7883,36,0,0,3817,1200,45209,8013,8334,32,0,0,4571,0,43222,8086,8623,36,0,0,0,4664,1937,62191,73725,46753,34977,37307,82345,82514,108402,92193,91001,161157,208712,211000,48485,62115,44706,61125,66159,64631
221, AMAZONIA, AMACAYACU,ABRIL,693,133,97,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939,1167,955,0,0,0
222, CARIBE, OLD PROVIDENCE,DICIEMBRE,630,42,82,0,22,47,32,134,594,70,109,0,43,114,34,126,115,710,106,0,11,84,24,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,592,989,1090,1130,0
224, ANDES OCCIDENTALES, CUEVA DE LOS GUACHAROS,OCTUBRE,12,0,2,5,0,0,0,0,11,8,0,0,1,1,0,0,2,70,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,19,21,94,0
225, PACIFICO, UTRIA,AGOSTO,196,24,26,11,0,0,0,0,245,71,16,0,0,0,0,0,292,71,110,0,0,0,30,0,308,116,44,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,332,503,0
230, CARIBE,ISLA DE SALAMANCA,JUNIO,1,0,1,0,0,0,0,0,68,25,4,2,0,0,2,43,35,5,5,1,2,100,37,0,16,2,0,0,28,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,2,144,185,0
231, ANDES OCCIDENTALES, ISLA DE LA COROTA,MARZO,1719,0,102,0,0,0,0,23,1547,0,74,0,0,0,0,0,3292,0,165,0,0,0,40,0,1733,171,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553,1513,1844,1621,3497,1986
232, AMAZONIA, AMACAYACU,MARZO,522,76,171,0,0,0,0,38,390,49,73,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,1268,807,539,0,0
234,  ORINOQUIA, TUPARRO,JUNIO,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,5,0,0
236, ANDES NORORIENTALES, TAMA,OCTUBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
237, ANDES OCCIDENTALES, ISLA DE LA COROTA,AGOSTO,2228,0,234,0,0,0,0,14,2492,0,133,0,0,0,0,0,962,0,88,0,0,0,0,0,2825,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2253,2338,2476,2625,1050,0
238, ANDES OCCIDENTALES, GALERAS,MAYO,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0
239, CARIBE, TAYRONA,JULIO,15715,4095,3801,22,0,0,1390,521,18848,5162,4472,39,0,0,1410,722,15871,3640,5207,0,0,0,1786,12,14834,3554,5910,219,0,0,968,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22806,25705,25544,30653,26516,0
241, CARIBE, CORALES DEL ROSARIO,JUNIO,26187,3,9,0,0,0,0,0,35467,0,0,0,0,0,0,0,38392,0,0,0,0,0,0,0,34614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25543,25245,26199,35467,38392,0
245,  ORINOQUIA, TUPARRO,ENERO,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,331,266,272,353,314,116,107,0,0,0,0,0,124,12,0,12,0,0,0
246, ANDES NORORIENTALES, EL COCUY,NOVIEMBRE,54,27,66,7,0,48,0,2,122,136,100,19,0,47,0,0,325,301,131,2,0,68,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,266,204,424,955,0
248, ANDES OCCIDENTALES, PURACE,MAYO,139,5,33,4,10,12,0,0,91,0,25,0,0,0,0,0,21,202,17,4,61,43,53,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,239,203,116,411,0
250, ANDES NORORIENTALES, ESTORAQUES,SEPTIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0
251, ANDES OCCIDENTALES, OTUN QUIMBAYA,AGOSTO,104,3,19,0,0,0,0,121,92,28,37,0,0,0,23,11,25,1,57,0,0,0,16,242,93,8,54,0,0,0,2,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,247,191,341,0
252, PACIFICO, MALPELO,ENERO,10,0,39,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,274,505,309,452,392,525,637,530,579,621,14,48,49,28,0,0
255, ANDES NORORIENTALES, GUANENTA - ALTO RIO FONCE,FEBRERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
256, CARIBE,ISLA DE SALAMANCA,NOVIEMBRE,0,0,0,0,0,0,0,0,15,108,3,1,0,0,1,110,13,36,0,2,0,0,4,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,238,177,0
257, CARIBE, OLD PROVIDENCE,JUNIO,365,41,78,0,27,57,27,68,408,38,77,0,44,158,14,66,398,67,84,0,18,80,17,60,114,505,104,0,31,97,76,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,648,663,805,724,0
259, ANDES OCCIDENTALES, NEVADOS,NOVIEMBRE,1600,925,266,25,0,0,0,99,0,0,0,0,0,0,0,0,923,647,67,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4588,1311,2915,0,1763,0
260, PACIFICO, MALPELO,MARZO,21,0,56,0,0,0,0,0,0,0,20,0,0,0,0,18,15,0,13,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,50,77,38,28,17
262, CARIBE, FLAMENCOS,ABRIL,781,0,62,0,0,0,0,0,8,1,0,0,0,0,0,0,269,80,0,0,0,0,0,0,2030,693,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,16,843,9,349,2732
264, ANDES NORORIENTALES, IGUAQUE,ENERO,254,363,9,0,0,0,0,71,271,292,62,13,2,69,4,2,325,411,79,6,0,0,0,163,687,113,86,3,0,80,3,31,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,676,783,697,715,984,1003
270, PACIFICO, GORGONA,MARZO,156,238,21,2,0,0,0,10,51,13,16,0,0,13,0,0,121,57,4,1,0,0,0,100,94,3,10,0,0,44,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,282,427,93,283,197
271, PACIFICO, GORGONA,MAYO,149,115,8,0,0,36,0,1,66,7,15,0,0,15,0,42,35,117,4,0,0,0,0,127,58,31,13,2,0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,190,309,145,283,0
